zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
152,446,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,447,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,448,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,45,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), ,POINT(-43.352498 -21.7621496)
152,451,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,452,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,453,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,454,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,455,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,456,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,457,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,458,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,459,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,46,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,460,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,461,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,462,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,463,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,464,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,465,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,466,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,467,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,468,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,469,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,47,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,470,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,471,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,472,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,473,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,474,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,475,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,476,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,477,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,478,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
